Journal Report 1 (R3)	Number of Successful Full-Text Article Requests by Month and Journal																		
Account:C000032338:Regensburg University Library																			
Date run:																			
2014-07-18																			
	Publisher	Platform	Print ISSN	Online ISSN	Jan-2013	Feb-2013	Mar-2013	Apr-2013	May-2013	Jun-2013	Jul-2013	Aug-2013	Sep-2013	Oct-2013	Nov-2013	Dec-2013	YTD Total	YTD HTML	YTD PDF
Biochemical Engineering Journal	Elsevier	ScienceDirect	1369-703X		0	0	0	0	0	0	0	0	0	0	2	0	2	2	0
Biochemical Engineering Journal	Elsevier	ScienceDirect	1369-703X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemical Medicine	Elsevier	ScienceDirect	0006-2944		1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Biochemical Medicine and Metabolic Biology	Elsevier	ScienceDirect	0885-4505		0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
Biochemical Pharmacology	Elsevier	ScienceDirect	0006-2952		45	32	42	53	72	26	30	47	47	51	39	13	497	227	270
Biochemical Systematics and Ecology	Elsevier	ScienceDirect	0305-1978		7	12	1	3	5	9	3	0	6	9	3	1	59	24	35
Biochimica et Biophysica Acta	Elsevier	ScienceDirect	0006-3002		3	0	3	1	0	3	5	2	0	9	4	0	30	0	30
Biochimica et Biophysica Acta (BBA) - Bioenergetics	Elsevier	ScienceDirect	0005-2728		11	26	8	14	28	6	12	8	10	19	28	2	172	94	78
Biochimica et Biophysica Acta (BBA) - Biomembranes	Elsevier	ScienceDirect	0005-2736		44	29	19	33	57	33	50	13	38	43	63	24	446	221	225
Biochimica et Biophysica Acta (BBA) - Biophysics including Photosynthesis	Elsevier	ScienceDirect	0926-6585		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochimica et Biophysica Acta (BBA) - Enzymology	Elsevier	ScienceDirect	0005-2744		0	1	1	2	0	2	0	0	0	1	1	0	8	0	8
Biochimica et Biophysica Acta (BBA) - Enzymology and Biological Oxidation	Elsevier	ScienceDirect	0926-6593		0	0	0	0	0	0	0	0	0	2	0	0	2	0	2
Biochimica et Biophysica Acta (BBA) - Gene Regulatory Mechanisms	Elsevier	ScienceDirect	1874-9399		49	18	25	2	22	25	18	7	14	13	11	2	206	77	129
Biochimica et Biophysica Acta (BBA) - Gene Structure and Expression	Elsevier	ScienceDirect	0167-4781		14	9	12	9	7	2	4	10	4	8	4	3	86	46	40
Biochimica et Biophysica Acta (BBA) - General Subjects	Elsevier	ScienceDirect	0304-4165		15	8	14	22	9	7	16	11	17	5	16	3	143	65	78
Biochimica et Biophysica Acta (BBA) - Lipids and Lipid Metabolism	Elsevier	ScienceDirect	0005-2760		5	1	3	3	2	3	3	3	0	1	3	1	28	5	23
Biochimica et Biophysica Acta (BBA) - Molecular and Cell Biology of Lipids	Elsevier	ScienceDirect	1388-1981		31	35	26	9	17	17	13	38	22	31	13	28	280	166	114
Biochimica et Biophysica Acta (BBA) - Molecular Basis of Disease	Elsevier	ScienceDirect	0925-4439		10	7	10	14	14	19	13	5	24	18	9	10	153	93	60
Biochimica et Biophysica Acta (BBA) - Molecular Cell Research	Elsevier	ScienceDirect	0167-4889		58	26	7	29	18	32	24	34	39	15	22	7	311	185	126
Biochimica et Biophysica Acta (BBA) - Mucoproteins and Mucopolysaccharides	Elsevier	ScienceDirect	0926-6534		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochimica et Biophysica Acta (BBA) - Nucleic Acids and Protein Synthesis	Elsevier	ScienceDirect	0005-2787		0	0	2	2	0	1	0	0	0	1	0	0	6	0	6
Biochimica et Biophysica Acta (BBA) - Protein Structure	Elsevier	ScienceDirect	0005-2795		2	1	1	0	0	1	0	0	2	1	0	0	8	0	8
Biochimica et Biophysica Acta (BBA) - Protein Structure and Molecular Enzymology	Elsevier	ScienceDirect	0167-4838		7	12	10	20	14	12	1	4	12	6	0	7	105	56	49
Biochimica et Biophysica Acta (BBA) - Proteins and Proteomics	Elsevier	ScienceDirect	1570-9639		2	4	13	20	12	12	3	4	8	12	19	4	113	75	38
Biochimica et Biophysica Acta (BBA) - Reviews on Bioenergetics	Elsevier	ScienceDirect	0304-4173		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochimica et Biophysica Acta (BBA) - Reviews on Biomembranes	Elsevier	ScienceDirect	0304-4157		3	0	0	1	2	0	0	1	2	2	0	1	12	3	9
Biochimica et Biophysica Acta (BBA) - Reviews on Cancer	Elsevier	ScienceDirect	0304-419X		3	4	2	1	6	9	5	10	15	14	6	2	77	51	26
Biochimica et Biophysica Acta (BBA) - Specialized Section on Biophysical Subjects	Elsevier	ScienceDirect	0926-6577		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochimica et Biophysica Acta (BBA) - Specialized Section on Enzymological Subjects	Elsevier	ScienceDirect	0926-6569		0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
Biochimica et Biophysica Acta (BBA) - Specialized Section on Lipids and Related Subjects	Elsevier	ScienceDirect	0926-6542		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochimica et Biophysica Acta (BBA) - Specialized Section on Mucoproteins and Mucopolysaccharides	Elsevier	ScienceDirect	0926-6526		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochimica et Biophysica Acta (BBA) - Specialized Section on Nucleic Acids and Related Subjects	Elsevier	ScienceDirect	0926-6550		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochimie	Elsevier	ScienceDirect	0300-9084		18	25	15	28	18	20	14	10	23	11	20	2	204	114	90
Bioelectrochemistry	Elsevier	ScienceDirect	1567-5394		1	0	0	1	2	3	7	2	4	7	0	0	27	15	12
Bioelectrochemistry and Bioenergetics	Elsevier	ScienceDirect	0302-4598		2	1	4	0	2	4	3	0	1	2	5	0	24	3	21
Bioinorganic Chemistry	Elsevier	ScienceDirect	0006-3061		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biological Conservation	Elsevier	ScienceDirect	0006-3207		31	55	23	29	16	7	23	23	33	13	42	17	312	158	154
Biological Control	Elsevier	ScienceDirect	1049-9644	1090-2112	4	4	0	0	0	0	0	3	5	3	2	4	25	11	14
Biological Journal of the Linnean Society	Elsevier	ScienceDirect	0024-4066		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biological Psychiatry	Elsevier	ScienceDirect	0006-3223		101	141	70	61	87	92	129	100	189	127	112	75	1284	693	591
Biological Psychology	Elsevier	ScienceDirect	0301-0511		23	29	31	15	15	26	30	14	18	40	39	39	319	145	174
Biological Wastes	Elsevier	ScienceDirect	0269-7483		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biologicals	Elsevier	ScienceDirect	1045-1056	1095-8320	0	0	1	0	3	0	0	0	1	1	0	0	6	1	5
Biology of Blood and Marrow Transplantation	Elsevier	ScienceDirect	1083-8791	1523-6536	0	0	2	0	3	2	2	0	2	0	0	0	11	3	8
Biology of the Cell	Elsevier	ScienceDirect	0248-4900		1	0	2	0	2	0	0	0	2	0	0	1	8	5	3
Biomass	Elsevier	ScienceDirect	0144-4565		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biomaterials	Elsevier	ScienceDirect	0142-9612		195	231	138	106	165	123	222	104	173	113	124	105	1799	932	867
Biomedicine & Pharmacotherapy	Elsevier	ScienceDirect	0753-3322		15	1	2	3	0	0	1	1	7	2	0	0	32	12	20
Biometric Technology Today	Elsevier	ScienceDirect	0969-4765		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biomolecular Engineering	Elsevier	ScienceDirect	1389-0344		6	0	4	10	2	2	2	0	0	0	0	0	26	17	9
Bioorganic & Medicinal Chemistry	Elsevier	ScienceDirect	0968-0896	1464-3391	86	90	79	192	115	99	108	123	107	145	136	76	1356	712	644
Bioorganic & Medicinal Chemistry Letters	Elsevier	ScienceDirect	0960-894X	1464-3405	148	162	148	207	167	105	161	219	175	200	115	78	1885	1059	826
Bioorganic Chemistry	Elsevier	ScienceDirect	0045-2068	1090-2120	5	17	2	1	2	1	2	0	1	4	2	0	37	14	23
Biophysical Chemistry	Elsevier	ScienceDirect	0301-4622		19	22	22	21	10	7	2	5	9	7	9	8	141	83	58
Biophysical Journal	Elsevier	ScienceDirect	0006-3495	1542-0086	51	57	58	56	33	57	52	40	40	54	41	33	572	279	293
Bioresource Technology	Elsevier	ScienceDirect	0960-8524		1	0	0	1	5	0	7	3	1	0	0	0	18	9	9
Biosensors	Elsevier	ScienceDirect	0265-928X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biosensors and Bioelectronics	Elsevier	ScienceDirect	0956-5663		85	18	38	125	51	37	56	41	54	46	34	8	593	345	248
Biosystems	Elsevier	ScienceDirect	0303-2647		1	0	1	0	1	0	0	0	1	1	3	0	8	3	5
Biosystems Engineering	Elsevier	ScienceDirect	1537-5110	1537-5129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biotechnology Advances	Elsevier	ScienceDirect	0734-9750		2	0	2	0	0	0	9	4	6	5	2	3	33	19	14
BJOG: An International Journal of Obstetrics and Gynaecology	Elsevier	ScienceDirect	1470-0328		0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
Blood Cells, Molecules, and Diseases	Elsevier	ScienceDirect	1079-9796	1096-0961	0	3	4	0	0	3	5	2	0	10	0	3	30	13	17
Blood Reviews	Elsevier	ScienceDirect	0268-960X		4	13	2	2	0	10	5	9	6	10	9	8	78	37	41
Blood Reviews	Elsevier	ScienceDirect	0268-960X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bone	Elsevier	ScienceDirect	8756-3282		20	16	31	44	29	19	18	14	18	14	30	15	268	148	120
Bone and Mineral	Elsevier	ScienceDirect	0169-6009		0	0	0	0	0	0	1	0	1	0	0	0	2	0	2
Botanical Journal of the Linnean Society	Elsevier	ScienceDirect	0024-4074		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brain and Cognition	Elsevier	ScienceDirect	0278-2626	1090-2147	23	17	12	15	36	8	8	14	21	21	18	20	213	96	117
Brain and Development	Elsevier	ScienceDirect	0387-7604		2	1	1	0	0	0	0	1	1	0	0	0	6	1	5
Brain and Language	Elsevier	ScienceDirect	0093-934X		14	14	2	13	3	2	8	1	5	7	13	7	89	44	45
Brain Research	Elsevier	ScienceDirect	0006-8993		60	95	64	45	48	46	60	48	59	77	56	44	702	330	372
Brain Research Bulletin	Elsevier	ScienceDirect	0361-9230		9	12	11	22	15	10	22	15	20	13	16	4	169	92	77
Brain Research Protocols	Elsevier	ScienceDirect	1385-299X		5	1	1	0	2	0	4	5	0	2	1	0	21	16	5
Brain Research Protocols	Elsevier	ScienceDirect	1385-299X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brain Research Reviews	Elsevier	ScienceDirect	0165-0173		18	13	20	7	23	15	15	7	14	8	13	17	170	92	78
Brain Stimulation	Elsevier	ScienceDirect	1935-861X		0	0	0	0	0	0	0	2	0	0	0	0	2	1	1
Brain, Behavior, and Immunity	Elsevier	ScienceDirect	0889-1591	1090-2139	24	11	28	29	10	12	32	31	27	39	19	8	270	140	130
Brazilian Journal of Anesthesiology	Elsevier	ScienceDirect	0034-7094		0	0	0	0	0	1	1	88	0	0	0	0	90	0	90
British Homoeopathic Journal	Elsevier	ScienceDirect	0007-0785		0	0	0	0	0	2	0	0	0	0	0	0	2	0	2
British Journal of Diseases of the Chest	Elsevier	ScienceDirect	0007-0971		0	0	0	0	0	0	0	0	1	0	0	0	1	0	1
British Journal of Obstetrics and Gynaecology	Elsevier	ScienceDirect	0306-5456		0	0	0	0	0	0	0	0	0	2	0	0	2	1	1
British Journal of Oral and Maxillofacial Surgery	Elsevier	ScienceDirect	0266-4356		3	12	0	2	2	0	3	2	3	0	1	0	28	0	28
British Journal of Oral Surgery	Elsevier	ScienceDirect	0007-117X		1	0	0	1	0	0	0	0	0	0	0	0	2	0	2
British Journal of Oral Surgery	Elsevier	ScienceDirect	0007-117X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
British Journal of Plastic Surgery	Elsevier	ScienceDirect	0007-1226		11	5	7	15	10	0	2	3	4	0	3	3	63	9	54
British Journal of Tuberculosis	Elsevier	ScienceDirect	0366-0850		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
British Journal of Tuberculosis and Diseases of the Chest	Elsevier	ScienceDirect	0366-0869		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
British Veterinary Journal	Elsevier	ScienceDirect	0007-1935		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Building and Environment	Elsevier	ScienceDirect	0360-1323		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Building Science	Elsevier	ScienceDirect	0007-3628		0	0	1	0	0	0	0	0	0	0	0	0	1	0	1
Bulletin de l'Institut Pasteur	Elsevier	ScienceDirect	0020-2452		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bulletin des Sciences Math̩matiques	Elsevier	ScienceDirect	0007-4497		0	0	0	0	0	1	1	0	0	1	0	0	3	0	3
Bulletin of Faculty of Pharmacy, Cairo University	Elsevier	ScienceDirect	1110-0931		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
Bulletin of Latin American Research	Elsevier	ScienceDirect	0261-3050		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bulletin of Mathematical Biology	Elsevier	ScienceDirect	0092-8240		1	0	1	0	0	0	0	0	2	0	0	0	4	0	4
Bulletin of the British Mycological Society	Elsevier	ScienceDirect	0007-1528		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burns	Elsevier	ScienceDirect	0305-4179		0	0	0	3	1	2	0	0	0	0	3	2	11	5	6
Business Horizons	Elsevier	ScienceDirect	0007-6813		8	1	2	3	3	2	3	3	7	17	3	1	53	19	34
Canadian Institute of Food Science and Technology Journal	Elsevier	ScienceDirect	0315-5463		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cancer Cell	Elsevier	ScienceDirect	1535-6108		100	74	48	116	88	120	69	46	95	67	121	66	1010	531	479
Cancer Epidemiology	Elsevier	ScienceDirect	1877-7821		0	0	0	0	0	0	0	0	0	2	0	0	2	1	1
Cancer Genetics	Elsevier	ScienceDirect	2210-7762		0	0	0	0	0	0	7	2	2	0	0	2	13	7	6
Cancer Genetics and Cytogenetics	Elsevier	ScienceDirect	0165-4608		11	12	18	5	7	1	0	0	15	0	3	1	73	37	36
Cancer Letters	Elsevier	ScienceDirect	0304-3835		40	30	25	22	24	18	33	10	22	27	25	26	302	173	129
Cancer Treatment Reviews	Elsevier	ScienceDirect	0305-7372		12	6	3	6	13	7	5	7	4	11	10	0	84	48	36
Cancer/Radioth̩rapie	Elsevier	ScienceDirect	1278-3218		0	0	0	0	0	0	0	0	0	2	0	0	2	1	1
Carbohydrate Polymers	Elsevier	ScienceDirect	0144-8617		23	23	9	26	32	7	4	8	14	6	23	7	182	85	97
Carbohydrate Research	Elsevier	ScienceDirect	0008-6215		15	9	23	14	23	6	18	13	25	11	18	5	180	76	104
Carbon	Elsevier	ScienceDirect	0008-6223		20	29	12	14	23	19	24	31	21	21	14	7	235	144	91
Cardiovascular Pathology	Elsevier	ScienceDirect	1054-8807		0	0	0	1	0	0	1	0	0	6	0	0	8	6	2
Cardiovascular Radiation Medicine	Elsevier	ScienceDirect	1522-1865		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cardiovascular Revascularization Medicine	Elsevier	ScienceDirect	1553-8389		0	0	0	0	0	0	0	2	0	0	0	0	2	1	1
Cardiovascular Surgery	Elsevier	ScienceDirect	0967-2109		0	1	0	17	2	0	4	0	0	0	1	1	26	13	13
Carnegie-Rochester Conference Series on Public Policy	Elsevier	ScienceDirect	0167-2231		0	1	0	1	0	0	0	0	0	0	0	1	3	0	3
Case Studies in Thermal Engineering	Elsevier	ScienceDirect	2214-157X		0	0	0	0	0	0	0	0	0	0	2	0	2	0	2
Catalysis Communications	Elsevier	ScienceDirect	1566-7367		0	0	0	0	0	0	2	0	0	0	0	0	2	1	1
Catalysis Today	Elsevier	ScienceDirect	0920-5861		22	10	18	10	12	18	3	12	1	1	8	7	122	58	64
CATENA	Elsevier	ScienceDirect	0341-8162		0	0	1	0	0	0	1	0	0	0	1	0	3	1	2
Cell	Elsevier	ScienceDirect	0092-8674	1097-4172	501	449	453	586	510	554	510	417	480	568	440	428	5896	3204	2691
Cell Biology International	Elsevier	ScienceDirect	1065-6995		2	2	2	1	0	0	1	1	1	4	2	0	16	9	7
Cell Biology International Reports	Elsevier	ScienceDirect	0309-1651		0	0	0	0	0	0	0	0	1	1	0	0	2	0	2
Cell Calcium	Elsevier	ScienceDirect	0143-4160		0	1	5	7	3	0	0	3	0	2	0	0	21	6	15
Cell Differentiation	Elsevier	ScienceDirect	0045-6039		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cell Differentiation and Development	Elsevier	ScienceDirect	0922-3371		0	0	0	0	0	0	2	0	0	0	0	0	2	0	2
Cell Host & Microbe	Elsevier	ScienceDirect	1931-3128		3	9	3	9	7	13	22	11	4	2	5	2	90	54	36
Cell Metabolism	Elsevier	ScienceDirect	1550-4131		25	23	9	15	18	25	13	30	42	14	15	39	268	151	117
Cell Reports	Elsevier	ScienceDirect	2211-1247		20	17	24	29	8	12	40	27	39	17	34	19	286	184	102
Cell Stem Cell	Elsevier	ScienceDirect	1934-5909		15	23	9	17	6	20	38	26	35	15	35	17	256	136	120
Cellular Immunology	Elsevier	ScienceDirect	0008-8749	1090-2163	9	9	9	7	11	5	8	13	19	5	11	18	124	62	62
Cellular Signalling	Elsevier	ScienceDirect	0898-6568		38	32	24	34	33	45	47	60	34	37	34	29	447	279	168
Cement and Concrete Research	Elsevier	ScienceDirect	0008-8846		1	0	5	0	4	1	1	0	0	0	2	0	14	10	4
Ceramics International	Elsevier	ScienceDirect	0272-8842		0	0	0	1	0	0	2	2	0	0	0	0	5	2	3
Chaos, Solitons & Fractals	Elsevier	ScienceDirect	0960-0779		2	0	0	1	1	0	1	0	0	1	2	4	12	9	3
Chemical Engineering and Processing: Process Intensification	Elsevier	ScienceDirect	0255-2701		0	0	0	4	0	0	1	0	0	0	0	0	5	4	1
Chemical Engineering Journal	Elsevier	ScienceDirect	1385-8947		0	2	0	0	0	0	2	0	0	0	0	0	4	2	2
Chemical Engineering Science	Elsevier	ScienceDirect	0009-2509		2	4	3	22	6	1	3	2	0	11	5	0	59	33	26
Chemical Geology	Elsevier	ScienceDirect	0009-2541		0	0	3	1	0	0	1	0	0	0	1	0	6	4	2
Chemical Geology: Isotope Geoscience section	Elsevier	ScienceDirect	0168-9622		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chemical Physics	Elsevier	ScienceDirect	0301-0104		27	42	57	33	25	17	32	18	33	26	27	13	350	160	190
Chemical Physics Letters	Elsevier	ScienceDirect	0009-2614		112	104	128	72	69	67	105	99	79	116	95	78	1124	464	660
Chemico-Biological Interactions	Elsevier	ScienceDirect	0009-2797		2	3	7	1	1	0	2	1	5	2	0	3	27	8	19
Chemie der Erde - Geochemistry	Elsevier	ScienceDirect	0009-2819		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chemistry & Biology	Elsevier	ScienceDirect	1074-5521		28	15	16	14	25	15	17	19	10	12	17	14	202	121	81
Chemistry and Physics of Lipids	Elsevier	ScienceDirect	0009-3084		21	7	13	16	10	8	11	7	6	14	5	4	122	59	63
Chemometrics and Intelligent Laboratory Systems	Elsevier	ScienceDirect	0169-7439		5	2	0	1	3	2	2	1	6	2	3	3	30	15	15
Chemosphere	Elsevier	ScienceDirect	0045-6535		11	8	2	18	13	10	13	15	5	12	9	9	125	62	63
Chemosphere - Global Change Science	Elsevier	ScienceDirect	1465-9972		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Child Abuse & Neglect	Elsevier	ScienceDirect	0145-2134		5	35	1	0	7	10	26	7	3	12	14	0	120	31	89
Children and Youth Services Review	Elsevier	ScienceDirect	0190-7409		0	5	0	0	3	0	0	0	0	0	0	0	8	1	7
China Economic Review	Elsevier	ScienceDirect	1043-951X		0	3	2	2	2	1	0	0	0	0	0	0	10	4	6
China Economic Review	Elsevier	ScienceDirect	1043-951X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chinese Astronomy	Elsevier	ScienceDirect	0146-6364		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chinese Astronomy and Astrophysics	Elsevier	ScienceDirect	0275-1062		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chinese Journal of Aeronautics	Elsevier	ScienceDirect	1000-9361		0	0	0	0	0	0	0	0	0	0	2	0	2	0	2
Chirurgie de la Main	Elsevier	ScienceDirect	1297-3203		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromatographic Reviews	Elsevier	ScienceDirect	0009-5907		0	0	0	0	0	0	0	1	0	0	0	0	1	0	1
CIRP Annals - Manufacturing Technology	Elsevier	ScienceDirect	0007-8506		0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
CIRP Journal of Manufacturing Science and Technology	Elsevier	ScienceDirect	1755-5817	1878-0016	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
Cities	Elsevier	ScienceDirect	0264-2751		3	0	0	2	1	0	3	0	0	0	6	5	20	9	11
Cladistics	Elsevier	ScienceDirect	0748-3007		0	1	0	0	0	0	0	0	0	0	1	0	2	1	1
Climate Policy	Elsevier	ScienceDirect	1469-3062		0	0	0	0	1	0	0	0	0	0	0	0	1	1	0
Clinica Chimica Acta	Elsevier	ScienceDirect	0009-8981		14	14	33	24	18	15	21	16	13	13	6	25	212	116	96
Clinical and Applied Immunology Reviews	Elsevier	ScienceDirect	1529-1049		0	0	2	0	0	0	0	0	0	0	0	0	2	1	1
Clinical and Diagnostic Virology	Elsevier	ScienceDirect	0928-0197		0	0	0	1	0	0	2	0	0	0	0	0	3	1	2
Clinical Biochemistry	Elsevier	ScienceDirect	0009-9120		2	15	7	7	9	7	1	3	5	2	9	5	72	37	35
Clinical Biomechanics	Elsevier	ScienceDirect	0268-0033		4	1	4	4	1	3	1	0	0	0	2	1	21	7	14
Clinical Breast Cancer	Elsevier	ScienceDirect	1526-8209		0	0	0	0	0	0	0	0	0	4	0	0	4	1	3
Clinical Imaging	Elsevier	ScienceDirect	0899-7071		0	0	0	1	0	0	1	0	3	4	0	0	9	5	4
Clinical Immunology	Elsevier	ScienceDirect	1521-6616	1521-7035	6	12	15	3	10	7	11	3	4	11	14	4	100	61	39
Clinical Immunology and Immunopathology	Elsevier	ScienceDirect	0090-1229		2	3	1	0	2	1	1	0	1	0	0	0	11	0	11
Clinical Immunology Newsletter	Elsevier	ScienceDirect	0197-1859		0	0	0	0	0	0	0	0	1	0	0	0	1	0	1
Clinical Lung Cancer	Elsevier	ScienceDirect	1525-7304		0	0	0	0	0	0	0	0	0	0	4	0	4	2	2
Clinical Materials	Elsevier	ScienceDirect	0267-6605		0	0	0	0	0	0	4	0	0	0	0	0	4	0	4
Clinical Microbiology Newsletter	Elsevier	ScienceDirect	0196-4399		0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
Clinical Neurology and Neurosurgery	Elsevier	ScienceDirect	0303-8467		0	0	2	0	1	1	0	3	0	0	1	0	8	1	7
Clinical Neurophysiology	Elsevier	ScienceDirect	1388-2457		10	10	2	25	32	16	20	10	20	53	34	11	243	130	113
Clinical Neuroscience Research	Elsevier	ScienceDirect	1566-2772		2	0	0	0	0	0	0	4	1	0	0	0	7	5	2
Clinical Nutrition	Elsevier	ScienceDirect	0261-5614		1	0	0	0	0	0	0	0	1	0	1	3	6	0	6
Clinical Oncology	Elsevier	ScienceDirect	0936-6555		1	0	0	0	1	1	0	0	0	0	0	0	3	0	3
Clinical Plasma Medicine	Elsevier	ScienceDirect	2212-8166		0	0	0	0	2	0	1	0	0	0	1	0	4	1	3
Clinical Positron Imaging	Elsevier	ScienceDirect	1095-0397		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clinical Psychology Review	Elsevier	ScienceDirect	0272-7358		34	38	36	11	18	21	47	7	29	27	26	39	333	153	180
Clinical Radiology	Elsevier	ScienceDirect	0009-9260	1365-229X	5	1	2	3	2	0	2	1	3	1	0	2	22	10	12
Clinical Techniques in Small Animal Practice	Elsevier	ScienceDirect	1096-2867		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clinical Therapeutics	Elsevier	ScienceDirect	0149-2918		6	4	3	6	1	4	2	1	7	7	2	3	46	0	46
Clinics in Dermatology	Elsevier	ScienceDirect	0738-081X		9	7	11	19	0	3	3	4	5	14	9	3	87	36	51
Clinics in Dermatology	Elsevier	ScienceDirect	0738-081X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clinics in Endocrinology and Metabolism	Elsevier	ScienceDirect	0300-595X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clinics in Liver Disease	Elsevier	ScienceDirect	1089-3261		0	0	1	0	0	0	0	0	0	0	2	0	3	1	2
Clinics in Perinatology	Elsevier	ScienceDirect	0095-5108		0	2	0	0	0	0	0	0	5	0	0	2	9	5	4
Coastal Engineering	Elsevier	ScienceDirect	0378-3839		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cognition	Elsevier	ScienceDirect	0010-0277		37	24	23	26	18	31	23	30	14	25	49	19	319	135	184
Cognitive and Behavioral Practice	Elsevier	ScienceDirect	1077-7229		0	0	0	0	0	0	0	0	1	0	0	0	1	0	1
Cognitive Brain Research	Elsevier	ScienceDirect	0926-6410		16	18	8	5	30	2	12	4	1	8	8	18	130	76	53
Cognitive Development	Elsevier	ScienceDirect	0885-2014		10	10	2	4	3	5	6	3	5	2	1	8	59	22	37
Cognitive Psychology	Elsevier	ScienceDirect	0010-0285	1095-5623	6	4	9	2	3	6	12	17	7	7	5	3	81	6	75
Cognitive Science	Elsevier	ScienceDirect	0364-0213		1	1	2	2	3	2	1	4	0	1	0	0	17	1	16
Cognitive Systems Research	Elsevier	ScienceDirect	1389-0417		2	0	1	0	0	0	0	0	0	2	0	0	5	3	2
Cold Regions Science and Technology	Elsevier	ScienceDirect	0165-232X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Collagen and Related Research	Elsevier	ScienceDirect	0174-173X		0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
Collagen and Related Research	Elsevier	ScienceDirect	0174-173X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colloids and Surfaces A: Physicochemical and Engineering Aspects	Elsevier	ScienceDirect	0927-7757		90	104	68	43	59	26	54	37	42	40	48	40	651	425	226
Colloids and Surfaces B: Biointerfaces	Elsevier	ScienceDirect	0927-7765		23	29	30	19	17	21	30	6	27	22	26	20	270	187	83
Combinatorial Chemistry - an Online Journal	Elsevier	ScienceDirect	1464-3383		3	0	0	0	0	2	0	0	2	0	0	0	7	5	2
Combustion and Flame	Elsevier	ScienceDirect	0010-2180		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Communications in Nonlinear Science and Numerical Simulation	Elsevier	ScienceDirect	1007-5704		0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
Communist Affairs	Elsevier	ScienceDirect	0588-8174		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Communist and Post-Communist Studies	Elsevier	ScienceDirect	0967-067X		1	0	6	5	3	3	0	3	2	2	5	5	35	18	17
Communist and Post-Communist Studies	Elsevier	ScienceDirect	0967-067X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Comparative and General Pharmacology	Elsevier	ScienceDirect	0010-4035		0	0	1	0	0	0	0	0	0	0	0	0	1	0	1
